,Bagerhat,Bandarban,Barguna,Barisal,Bhola,Bogra,Brahmanbaria,Chandpur,Chittagong,Chuadanga,Comilla,Cox's bazar,Dhaka,Dinajpur,Faridpur,Feni,Gaibandha,Gazipur,Gopalganj,Habiganj,Jamalpur,Jessore,Jhalokati,Jhenaidah,Joypurhat,Khagrachhari,Khulna,Kishoregonj,Kurigram,Kushtia,Lakshmipur,Lalmonirhat,Madaripur,Magura,Manikganj,Maulvibazar,Meherpur,Munshiganj,Mymensingh,Naogaon,Narail,Narayanganj,Narsingdi,Natore,Nawabganj,Netrakona,Nilphamari,Noakhali,Pabna,Panchagarh,Patuakhali,Pirojpur,Rajbari,Rajshahi,Rangamati,Rangpur,Satkhira,Shariatpur,Sherpur,Sirajganj,Sunamganj,Sylhet,Tangail,Thakurgaon
Joypurhat,0,0,0,0,0,42,0,0,652,0,5,1,1704,69,2,6,7,615,5,0,1,3,0,0,2304,1,31,0,2,6,0,4,0,0,0,3,0,0,0,17,0,41,4,3,3,0,12,0,1,0,0,0,0,36,4,8,0,0,0,0,1,67,0,0
Khagrachhari,0,1,1,6,0,0,0,1,2304,0,4,8,443,0,0,26,0,101,0,0,0,1,0,0,0,1641,43,0,6,0,0,0,0,0,0,1,0,0,2,0,2,12,1,0,0,0,0,0,1,0,0,0,0,1,156,3,0,0,0,0,0,9,0,0
Khulna,162,4,22,97,0,26,0,4,3007,22,1,14,3782,19,8,578,4,475,18,0,3,1085,0,7,0,1,51795,2,12,32,0,4,8,1,0,2,5,38,7,1,16,146,3,5,22,1,5,0,36,0,0,0,6,29,39,11,15,0,0,0,3,108,0,11
Kishoregonj,1,0,0,5,0,0,106,13,10791,0,186,40,46306,3,10,974,0,4668,0,25,8,14,0,2,4,9,84,4740,4,17,0,1,0,0,0,548,0,1,317,0,0,451,13,0,0,12,4,0,0,0,0,0,0,12,18,2,0,0,0,4,101,5652,13,0
Kurigram,4,0,0,0,0,44,0,9,989,0,15,29,4702,402,0,43,25,2716,0,0,7,9,0,0,16,75,42,0,8245,0,0,488,0,0,0,2,0,13,2,3,0,44,0,0,7,0,48,0,11,0,0,0,0,17,11,858,0,0,1,0,6,58,2,203
Kushtia,1,0,1,61,0,28,1,10,926,167,2,30,2266,14,7,16,2,840,0,3,8,144,0,26,9,2,180,7,0,25391,0,8,0,2,0,7,66,0,6,12,0,91,5,18,26,0,6,12,115,0,0,0,69,445,15,5,0,0,0,0,1,45,4,11
Lakshmipur,8,0,0,3,5,3,0,12,4652,4,41,41,2151,4,1,1274,0,385,0,0,0,6,0,0,4,19,357,0,0,8,0,12,0,0,0,8,0,3,6,0,0,54,26,0,0,0,1,122,0,0,0,0,2,4,32,1,0,0,0,0,1,66,1,0
Lalmonirhat,3,4,1,2,0,35,0,1,1290,0,57,6,2045,66,1,105,13,771,3,0,0,1,0,0,4,30,1,0,1,1,0,10749,0,0,0,4,0,0,20,0,0,195,30,0,5,4,43,0,1,0,0,0,0,79,3,705,0,0,0,0,0,58,0,20
Madaripur,2,0,0,35,0,2,0,6,530,3,4,31,13980,13,21,21,4,902,12,1,0,108,0,2,0,0,1115,1,0,4,0,2,2113,3,0,13,1,66,3,0,0,74,1,5,1,0,4,0,0,0,0,0,1,26,5,0,0,6,1,0,0,54,0,0
Magura,0,0,0,1,0,2,0,0,801,21,0,7,2159,118,17,55,0,925,2,0,0,123,0,6,0,1,150,0,0,38,0,6,1,1060,1,14,0,0,5,0,31,44,0,0,9,0,7,0,0,0,0,0,12,21,3,15,0,0,1,2,0,68,0,93
Manikganj,0,0,0,9,0,0,0,1,669,10,1,0,3161,2,17,0,1,660,2,0,22,1,0,1,0,1,47,0,4,23,0,9,0,0,588,14,0,9,2,0,0,115,45,0,7,0,2,0,20,0,0,0,16,16,20,1,0,2,0,0,0,59,9,4
